"Ya en calendario","...2","Prioridad","Nombre","Alcaldía","cve_col","Grupo Electoral","Poblacion 2020","Colonias operativas","Grado Marginación","Nivel Desarrollo Social","Indice Desarrollo Social","Postes Totales","Postes C5","WiFi Barrio","Unidad habitacional","Unidad habitacional en programa WiFi","Razon","Asentamiento irregular","Fecha","visita"
1,NA,"P2","MONTE ALBAN","IZTAPALAPA","07-146","Voto duro Morena",1376,0.172,4,"Muy Bajo",0.74650243333,0,0,0,0,0,NA,0,"jueves 15 de diciembre",NA
1,NA,"P2","SAN LORENZO 870 (U HAB)","IZTAPALAPA","07-189","Voto duro Morena",908,0.1135,4,"Muy Bajo",0.749468006,0,0,0,1,1,NA,0,"miécoles 14 de diciembre",NA
1,NA,"P1","LA JOYITA","IZTAPALAPA","07-110","Voto duro Morena",686,0.08575,5,"Muy Bajo",0.75438797143,1,1,0,0,0,686,0,"miécoles 14 de diciembre",NA
1,NA,"P2","PARAISO (AMPL)","IZTAPALAPA","07-153","Volátiles",672,0.084,4,"Muy Bajo",0.72382258182,0,0,0,0,0,NA,0,"miécoles 14 de diciembre",NA
1,NA,"P2","CUITLAHUAC","TLAHUAC","11-060","Voto duro Morena",1770,0.22125,4,"Muy Bajo",0.77802595833,0,0,0,0,0,NA,0,"jueves 1 de septiembre",NA
1,NA,"P3","2 DE OCTUBRE","TLALPAN","12-205","Voto duro Morena",5780,0.7225,5,"Bajo",0.77860997188,13,3,10,0,0,444.615384615385,0,"martes 27 de septiembre",NA
1,NA,"P1","BOSQUES DEL PEDREGAL","TLALPAN","12-016","Voto duro Morena",5792,0.724,5,"Muy Bajo",0.76619028718,14,3,11,0,0,413.714285714286,0,"martes 18 de octubre",NA
1,NA,"P3","CANTERA PUENTE DE PIEDRA","TLALPAN","12-018","Voto duro Morena",4763,0.595375,5,"Bajo",0.819422284,21,4,17,1,0,226.809523809524,0,"martes 22 de noviembre",NA
1,NA,"P3","SAN ANDRES TOTOLTEPEC (PBLO)","TLALPAN","12-147","Voto duro Morena",30010,3.75125,5,"Bajo",0.8108949813,79,22,57,0,0,379.873417721519,1,"miércoles 2 de noviembre",NA
1,NA,"P3","CHICHICASPATL","TLALPAN","12-019","Voto duro Morena",2676,0.3345,5,"Bajo",0.79334990667,10,2,8,0,0,267.6,0,"martes 18 de octubre",NA
1,NA,"P2","EL ZACATON","TLALPAN","12-039","Voto duro Morena",4284,0.5355,4,"Muy Bajo",0.733135712,6,5,1,0,0,714,0,"jueves 6 de octubre",NA
1,NA,"P1","LA LIBERTAD - IXTLAHUACA","TLALPAN","12-073","Volátiles",1000,0.125,5,"Muy Bajo",0.7431626125,2,0,2,0,0,500,0,"viernes 28 de octubre",NA
1,NA,"P1","LA MAGDALENA PETLACALCO (PBLO)","TLALPAN","12-074","Volátiles",8649,1.081125,5,"Muy Bajo",0.70664366275,16,9,7,0,0,540.5625,1,"lunes 7 de noviembre","JDG"
1,NA,"P3","PEDREGAL DE SN NICOLAS 1A SECC","TLALPAN","12-117","Voto duro Morena",11379,1.422375,5,"Bajo",0.81509836833,34,13,21,0,0,334.676470588235,0,"martes 22 de noviembre",NA
1,NA,"P3","PEDREGAL DE SN NICOLAS 3A SECC","TLALPAN","12-119","Voto duro Morena",10553,1.319125,5,"Bajo",0.8172131554,44,11,33,0,0,239.840909090909,0,"martes 22 de noviembre",NA
1,NA,"P3","LOMAS ALTAS DE PADIERNA SUR","TLALPAN","12-079","Voto duro Morena",6110,0.76375,5,"Bajo",0.80626431111,14,6,8,0,0,436.428571428571,0,"martes 27 de septiembre",NA
1,NA,"P1","EL ARENAL","TLALPAN","12-036","Voto duro Morena",2434,0.30425,5,"Muy Bajo",0.75156091667,4,1,3,0,0,608.5,0,"jueves 8 de septiembre",NA
1,NA,"P1","XAXALIPAC","TLALPAN","12-201","Volátiles",1697,0.212125,5,"Muy Bajo",0.67826196667,3,0,3,0,0,565.666666666667,0,"lunes 5 de septiembre","JDG"
1,NA,"P2","SAN MIGUEL  XICALCO (PBLO)","TLALPAN","12-154","Voto duro Morena",13529,1.691125,4,"Muy Bajo",0.747964825,25,9,16,0,0,541.16,1,"lunes 7 de noviembre",NA
1,NA,"P3","PEDREGAL DE SN NICOLAS 4A SECC I","TLALPAN","12-213","Voto duro Morena",10702,1.33775,5,"Bajo",0.78430703889,27,8,19,0,0,396.37037037037,0,"martes 18 de octubre",NA
1,NA,"P2","SAN MIGUEL AJUSCO (PBLO)","TLALPAN","12-155","Volátiles",16755,2.094375,4,"Muy Bajo",0.74495856214,45,6,39,0,0,372.333333333333,1,"viernes 21 de octubre","JDG"
1,NA,"P3","SAN NICOLAS II","TLALPAN","12-158","Voto duro Morena",4662,0.58275,5,"Bajo",0.79203211395,21,6,15,0,0,222,0,"jueves 6 de octubre",NA
1,NA,"P1","JARDINES DE SAN JUAN","TLALPAN","12-065","Volátiles",6876,0.8595,5,"Muy Bajo",0.69531210562,16,3,13,0,0,429.75,0,"lunes 10 de octubre","JDG"
1,NA,"P1","TLALMILLE","TLALPAN","12-176","Voto duro Morena",3060,0.3825,5,"Muy Bajo",0.7605789931,7,1,6,0,0,437.142857142857,0,"martes 27 de septiembre",NA
1,NA,"P1","SANTO TOMAS AJUSCO (PBLO)","TLALPAN","12-163","Volátiles",17798,2.22475,5,"Muy Bajo",0.77368664545,44,11,33,1,0,404.5,1,"viernes 7 de octubre","JDG"
1,NA,"P2","VISTAS DEL PEDREGAL","TLALPAN","12-198","Voto duro Morena",2517,0.314625,4,"Muy Bajo",0.75063518,4,2,2,1,0,629.25,0,"jueves 6 de octubre",NA
1,NA,"P1","XAXALCO","TLALPAN","12-200","Voto duro Morena",2342,0.29275,5,"Muy Bajo",0.71570675714,7,1,6,0,0,334.571428571429,0,"jueves 8 de septiembre",NA
1,NA,"P2","TEPETLICA EL ALTO-3 DE MAYO","TLALPAN","12-170","Voto duro Morena",2142,0.26775,4,"Muy Bajo",0.69694905,1,0,1,0,0,2142,0,"viernes 30 de septiembre","JDG"
1,NA,"P1","LA GUADALUPANA","TLALPAN","12-071","Volátiles",1956,0.2445,5,"Muy Bajo",0.70276675,1,0,1,0,0,1956,0,"lunes 26 de septiembre","JDG"
1,NA,"P1","CALTONGO (BARR)","XOCHIMILCO","13-007","Voto duro Morena",9106,1.13825,5,"Muy Bajo",0.740719442,4,4,0,1,1,2276.5,0,"jueves 20 de octubre",NA
1,NA,"P2","EL ARENAL PTO AEREO (FRACC)","VENUSTIANO CARRANZA","17-022","Volátiles",4516,0.5645,4,"Muy Bajo",0.75276308647,5,5,0,1,1,903.2,0,"lunes 21 de noviembre",NA
1,NA,"P1","MORELOS I","VENUSTIANO CARRANZA","17-083","Volátiles",18041,2.255125,5,"Muy Bajo",0.75334024375,23,23,0,1,1,784.391304347826,0,"viernes 26 de agosto",NA
1,NA,"P1","MORELOS II","VENUSTIANO CARRANZA","17-084","Volátiles",18824,2.353,5,"Muy Bajo",0.77671953509,29,29,0,1,1,649.103448275862,0,"lunes 21 de noviembre",NA
